2026-07-29 10:07:01,250 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/agent-harnesses "HTTP/1.1 200 OK"
2026-07-29 10:07:01,566 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Estwld/atomic2020-comet-origin/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-07-29 10:07:01,566 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-07-29 10:07:01,793 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Estwld/atomic2020-comet-origin/c98e0f9b2c86f6378ed7882faca6f6252736d42e/README.md "HTTP/1.1 200 OK"
2026-07-29 10:07:02,035 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Estwld/atomic2020-comet-origin/resolve/c98e0f9b2c86f6378ed7882faca6f6252736d42e/atomic2020-comet-origin.py "HTTP/1.1 404 Not Found"
2026-07-29 10:07:02,774 | INFO | httpx | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/Estwld/atomic2020-comet-origin/Estwld/atomic2020-comet-origin.py "HTTP/1.1 404 Not Found"
2026-07-29 10:07:03,052 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/Estwld/atomic2020-comet-origin/revision/c98e0f9b2c86f6378ed7882faca6f6252736d42e "HTTP/1.1 200 OK"
2026-07-29 10:07:03,292 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Estwld/atomic2020-comet-origin/resolve/c98e0f9b2c86f6378ed7882faca6f6252736d42e/.huggingface.yaml "HTTP/1.1 404 Not Found"
2026-07-29 10:07:03,977 | INFO | httpx | HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=Estwld/atomic2020-comet-origin "HTTP/1.1 200 OK"
2026-07-29 10:07:04,257 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/Estwld/atomic2020-comet-origin/tree/c98e0f9b2c86f6378ed7882faca6f6252736d42e/data?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-07-29 10:07:04,515 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/Estwld/atomic2020-comet-origin/tree/c98e0f9b2c86f6378ed7882faca6f6252736d42e?recursive=false&expand=false "HTTP/1.1 200 OK"
2026-07-29 10:07:04,758 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Estwld/atomic2020-comet-origin/resolve/c98e0f9b2c86f6378ed7882faca6f6252736d42e/dataset_infos.json "HTTP/1.1 404 Not Found"
2026-07-29 10:07:30,738 | WARNING | maskability_index.experiments.runner | Missing configured relations with no loaded examples: ['FilledBy']
2026-07-29 10:07:30,781 | INFO | maskability_index.experiments.runner | Evaluating 75 heads and 138 reference tails for relation AtLocation
2026-07-29 10:07:30,781 | INFO | maskability_index.experiments.runner | Evaluating 23 heads and 38 reference tails for relation CapableOf
2026-07-29 10:07:30,781 | INFO | maskability_index.experiments.runner | Evaluating 41 heads and 61 reference tails for relation HasProperty
2026-07-29 10:07:30,782 | INFO | maskability_index.experiments.runner | Evaluating 100 heads and 261 reference tails for relation ObjectUse
2026-07-29 10:07:30,782 | INFO | maskability_index.experiments.runner | Evaluating 100 heads and 299 reference tails for relation xAttr
2026-07-29 10:07:30,782 | INFO | maskability_index.experiments.runner | Evaluating 100 heads and 223 reference tails for relation xIntent
2026-07-29 10:07:30,782 | INFO | maskability_index.experiments.runner | Evaluating 100 heads and 276 reference tails for relation xNeed
2026-07-29 10:07:30,783 | INFO | maskability_index.experiments.runner | Evaluating 100 heads and 290 reference tails for relation xWant
2026-07-29 10:07:36,559 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/google-t5/t5-base/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
